,1,2,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,47,48,49,50,51,52,53,54,55,56,57,58,59,78,80,81,83,84,86,87,88,89,90,91,92,93,112,114,115,117,118,120,121,122,123,124,125,126,127
0,School,G,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,FG,FG%,3P,3P%,FT,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FG%,3P,3P%,FT,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,34,.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,67.2,93.8,.370,.333,.529,49.7,47.3,8.3,7.4,.488,21.5,27.3,.267,67.2,108.6,.336,.345,.565,50.3,58.5,12.9,8.0,.535,15.5,28.8,.239,897,.469,251,.380,457,.712,325,1110,525,297,93,407,635,753,.434,191,.330,464,.722,295,1098,356,192,92,560,592
2,Air Force,32,.438,-4.28,0.24,8,10,9,6,3,9,2179,2294,67.4,104.7,.286,.462,.555,49.9,54.0,10.5,8.2,.533,15.7,23.8,.194,67.4,99.5,.283,.400,.541,50.1,54.1,7.0,5.8,.517,17.4,23.7,.192,802,.452,234,.329,341,.678,253,1077,434,154,57,423,543,821,.451,299,.356,353,.679,258,1073,443,231,87,386,550
3,Akron,33,.515,4.86,1.09,8,10,14,3,1,10,2271,2107,68.5,92.9,.297,.382,.481,51.8,45.1,8.2,8.7,.452,16.6,29.3,.194,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195,797,.409,297,.320,380,.705,312,1204,399,185,106,388,569,760,.396,215,.293,372,.654,370,1292,343,187,89,436,578
4,Alabama A&M,32,.156,-19.23,-8.38,4,14,4,7,0,18,1938,2285,67.5,104.5,.388,.384,.558,52.9,53.5,11.3,8.9,.537,18.3,31.7,.247,67.5,88.7,.250,.320,.479,47.1,52.3,10.7,4.7,.457,19.4,27.6,.157,736,.407,182,.315,284,.627,314,1032,385,234,50,487,587,811,.469,235,.353,428,.637,333,1158,434,246,109,458,463
5,Alabama-Birmingham,35,.571,0.36,-1.52,10,8,11,5,6,6,2470,2370,66.6,100.9,.314,.445,.526,47.3,54.7,7.6,8.4,.490,15.7,25.4,.230,66.6,105.2,.315,.346,.536,52.7,44.3,9.3,7.5,.511,14.8,30.4,.212,906,.452,234,.337,424,.673,367,1279,401,218,82,399,578,811,.414,297,.340,451,.732,310,1149,444,178,110,421,562
6,Alabama State,31,.387,-15.60,-7.84,9,9,8,3,3,13,2086,2235,69.6,102.8,.361,.368,.551,51.0,54.1,10.3,9.4,.518,18.8,30.8,.255,69.6,95.9,.388,.382,.499,49.0,44.0,9.3,9.3,.465,17.8,30.9,.253,712,.404,216,.321,446,.652,365,1094,313,203,102,451,565,788,.455,217,.340,442,.707,324,1140,426,224,103,470,621
7,Alabama,34,.529,9.45,9.01,8,10,10,6,4,8,2448,2433,69.8,102.1,.296,.327,.521,48.0,43.1,9.3,11.7,.489,14.7,28.0,.210,69.8,102.8,.380,.369,.533,52.0,48.8,6.6,11.6,.503,16.8,31.5,.253,856,.440,244,.340,492,.666,384,1285,418,157,160,465,572,890,.435,223,.333,430,.711,350,1185,384,221,144,402,644
8,Albany (NY),32,.375,-9.38,-6.70,7,9,6,8,6,10,2150,2216,66.7,102.3,.297,.391,.540,50.3,57.2,9.5,12.3,.519,16.5,27.7,.194,66.7,99.2,.322,.451,.533,49.7,55.2,9.0,7.1,.494,18.4,27.1,.240,728,.416,274,.347,420,.745,294,1081,402,195,78,454,566,807,.449,253,.360,349,.655,301,1092,462,206,118,406,556
