,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,28,18,10,.643,-2.34,-6.71,13,4,12,2,6,8,2134,1809,,71.3,89.4,.468,.334,.531,49.7,43.9,9.6,9.8,.476,24.8,27.8,.347
2,Air Force,29,11,18,.379,-0.74,2.34,5,12,8,7,3,8,2127,2156,,69.4,107.1,.294,.478,.572,49.9,53.4,9.0,8.5,.548,15.0,22.4,.208
3,Akron,28,21,7,.750,6.85,-0.69,11,4,13,2,7,4,2109,1846,,70.5,93.5,.290,.331,.481,49.4,41.3,8.8,8.4,.450,16.5,29.2,.194
4,Alabama A&M,25,7,18,.280,-18.45,-8.89,4,10,5,4,2,13,1556,1795,,69.3,103.1,.356,.364,.541,52.6,51.9,8.7,11.2,.516,15.8,26.4,.234
5,Alabama-Birmingham,29,17,12,.586,-0.93,-1.45,8,8,10,6,5,6,1949,1890,,67.0,97.3,.267,.410,.518,44.9,47.1,10.5,8.6,.488,16.4,23.7,.192
6,Alabama State,27,8,19,.296,-15.64,-6.08,7,7,4,3,2,13,1664,1922,,70.4,101.1,.360,.358,.544,52.9,51.7,10.3,10.5,.521,17.7,28.9,.233
7,Alabama,28,15,13,.536,12.32,8.17,7,8,9,4,4,7,2323,2207,,76.6,101.1,.357,.347,.517,50.0,43.1,10.9,12.5,.472,15.5,30.4,.265
8,Albany (NY),29,14,15,.483,-8.75,-6.61,7,7,7,6,5,9,1943,1977,,70.1,96.8,.271,.386,.509,49.9,53.8,11.2,10.8,.481,16.1,25.8,.187
9,Alcorn State,26,13,13,.500,-15.27,-9.68,9,6,9,1,4,12,1972,1910,,72.7,100.1,.347,.355,.532,48.7,53.7,10.0,7.9,.507,17.1,27.9,.227
10,American,28,15,13,.536,-4.90,-5.82,11,6,10,3,5,10,2000,1974,,68.9,101.8,.367,.314,.536,51.7,47.8,8.7,8.6,.501,17.0,29.9,.257
11,Appalachian State,29,16,13,.552,-0.22,0.16,10,8,9,4,6,8,1980,1931,,68.3,97.1,.267,.408,.518,49.9,55.3,9.7,8.0,.489,18.2,27.7,.190
12,Arizona State,28,19,9,.679,11.85,7.85,10,5,12,2,6,4,2061,1949,,73.5,94.7,.341,.380,.518,51.1,50.7,8.8,9.6,.488,19.5,27.9,.228
13,Arizona,28,19,9,.679,20.27,8.20,9,6,12,3,4,5,2158,1820,,70.0,92.0,.336,.381,.498,47.2,52.7,6.4,7.8,.458,18.2,25.7,.239
14,Little Rock,29,20,9,.690,2.31,-1.16,14,4,12,2,8,7,2109,1994,,69.9,98.4,.331,.392,.520,47.9,49.6,9.9,9.0,.488,17.5,28.7,.228
15,Arkansas-Pine Bluff,27,4,23,.148,-20.84,-5.26,3,12,2,7,2,16,1442,1839,,67.2,100.9,.469,.375,.531,51.3,57.5,13.7,7.4,.490,18.3,30.4,.318
16,Arkansas State,30,15,15,.500,-2.77,-0.63,7,12,10,7,5,8,2120,2153,,68.2,104.4,.415,.352,.558,50.7,55.3,8.8,5.7,.518,17.8,29.0,.300
17,Arkansas,28,18,10,.643,14.08,7.15,6,9,13,4,4,6,2083,1889,,71.1,93.3,.409,.326,.508,54.7,42.5,7.0,8.9,.462,19.9,30.8,.288
18,Army,28,15,13,.536,-8.32,-6.88,10,7,9,5,6,8,1995,1997,,69.8,101.3,.243,.419,.529,51.0,50.4,8.9,9.0,.509,15.0,24.4,.161
19,Auburn,28,24,4,.857,14.92,6.88,11,4,16,0,4,4,2193,1968,,70.5,97.1,.325,.365,.509,46.3,45.3,9.2,9.3,.472,16.7,27.7,.231
20,Austin Peay,30,20,10,.667,-0.45,-4.48,14,3,14,0,5,9,2321,2146,,70.0,101.8,.324,.344,.559,47.6,51.9,8.4,6.1,.532,19.2,27.4,.226
21,Ball State,28,16,12,.571,3.60,-1.62,9,6,10,4,4,6,1932,1747,,69.2,90.1,.271,.332,.486,49.4,42.2,8.8,8.9,.458,18.0,24.8,.183
22,Baylor,27,25,2,.926,21.14,8.48,14,1,13,1,8,0,1927,1585,,66.6,88.1,.287,.349,.475,46.9,51.9,8.4,13.3,.442,19.5,29.0,.197
23,Belmont,30,23,7,.767,4.53,-6.47,14,3,13,1,10,5,2419,2051,,73.1,93.5,.248,.349,.495,49.5,47.2,8.1,8.1,.474,17.3,26.5,.159
24,Bethune-Cookman,28,15,13,.536,-9.95,-8.71,9,5,9,1,4,12,2099,2026,,75.5,95.4,.387,.342,.507,49.4,50.1,9.4,7.5,.471,18.0,29.9,.258
