,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,28,18,10,.643,-2.34,-6.71,13,4,12,2,6,8,2134,1809,,71.3,105.5,.385,.377,.552,50.3,56.9,13.0,8.0,.509,17.1,30.8,.288
2,Air Force,29,11,18,.379,-0.74,2.34,5,12,8,7,3,8,2127,2156,,69.4,105.7,.367,.413,.566,50.1,58.9,7.1,5.0,.530,16.1,22.7,.268
3,Akron,28,21,7,.750,6.85,-0.69,11,4,13,2,7,4,2109,1846,,70.5,106.8,.338,.441,.558,50.6,51.6,7.1,7.5,.518,16.1,28.3,.259
4,Alabama A&M,25,7,18,.280,-18.45,-8.89,4,10,5,4,2,13,1556,1795,,69.3,89.4,.321,.329,.463,47.4,48.1,8.4,5.6,.425,15.3,24.9,.218
5,Alabama-Birmingham,29,17,12,.586,-0.93,-1.45,8,8,10,6,5,6,1949,1890,,67.0,100.4,.352,.299,.535,55.1,42.7,8.9,8.5,.503,19.1,32.5,.244
6,Alabama State,27,8,19,.296,-15.64,-6.08,7,7,4,3,2,13,1664,1922,,70.4,87.5,.361,.388,.481,47.1,46.1,8.6,5.3,.450,19.5,25.1,.225
7,Alabama,28,15,13,.536,12.32,8.17,7,8,9,4,4,7,2323,2207,,76.6,106.4,.350,.487,.556,50.0,51.9,8.2,10.8,.527,16.7,29.7,.242
8,Albany (NY),29,14,15,.483,-8.75,-6.61,7,7,7,6,5,9,1943,1977,,70.1,95.2,.355,.436,.521,50.1,56.7,7.9,8.2,.483,17.8,24.3,.250
9,Alcorn State,26,13,13,.500,-15.27,-9.68,9,6,9,1,4,12,1972,1910,,72.7,103.4,.285,.403,.537,51.3,51.1,11.2,8.2,.503,16.9,30.7,.213
10,American,28,15,13,.536,-4.90,-5.82,11,6,10,3,5,10,2000,1974,,68.9,103.1,.283,.348,.543,48.3,47.9,11.1,9.1,.517,15.9,26.4,.199
11,Appalachian State,29,16,13,.552,-0.22,0.16,10,8,9,4,6,8,1980,1931,,68.3,99.5,.383,.392,.525,50.1,49.8,10.9,6.8,.493,16.9,27.7,.255
12,Arizona State,28,19,9,.679,11.85,7.85,10,5,12,2,6,4,2061,1949,,73.5,100.2,.323,.360,.524,48.9,41.2,10.6,9.5,.493,15.9,26.5,.222
13,Arizona,28,19,9,.679,20.27,8.20,9,6,12,3,4,5,2158,1820,,70.0,109.1,.371,.346,.550,52.8,56.9,9.6,10.7,.510,14.1,30.8,.273
14,Little Rock,29,20,9,.690,2.31,-1.16,14,4,12,2,8,7,2109,1994,,69.9,104.0,.436,.330,.564,52.1,58.8,9.9,10.4,.525,19.4,30.9,.312
15,Arkansas-Pine Bluff,27,4,23,.148,-20.84,-5.26,3,12,2,7,2,16,1442,1839,,67.2,79.1,.364,.289,.462,48.7,48.6,10.8,10.2,.435,23.0,27.3,.213
16,Arkansas State,30,15,15,.500,-2.77,-0.63,7,12,10,7,5,8,2120,2153,,68.2,102.8,.484,.316,.540,49.3,60.4,9.7,7.8,.492,16.5,28.9,.344
17,Arkansas,28,18,10,.643,14.08,7.15,6,9,13,4,4,6,2083,1889,,71.1,102.9,.404,.388,.544,45.3,46.0,11.5,9.7,.501,14.7,21.7,.295
18,Army,28,15,13,.536,-8.32,-6.88,10,7,9,5,6,8,1995,1997,,69.8,101.2,.264,.373,.548,49.0,59.3,8.0,4.7,.536,15.4,19.8,.163
19,Auburn,28,24,4,.857,14.92,6.88,11,4,16,0,4,4,2193,1968,,70.5,108.2,.449,.431,.534,53.7,48.8,8.9,13.0,.498,15.0,35.6,.302
20,Austin Peay,30,20,10,.667,-0.45,-4.48,14,3,14,0,5,9,2321,2146,,70.0,110.1,.373,.337,.556,52.4,48.7,9.5,8.6,.519,15.6,33.8,.272
21,Ball State,28,16,12,.571,3.60,-1.62,9,6,10,4,4,6,1932,1747,,69.2,99.6,.296,.476,.532,50.6,56.5,10.0,8.9,.506,16.8,25.4,.201
22,Baylor,27,25,2,.926,21.14,8.48,14,1,13,1,8,0,1927,1585,,66.6,107.1,.305,.375,.528,53.1,55.1,11.9,12.8,.498,14.9,35.9,.213
23,Belmont,30,23,7,.767,4.53,-6.47,14,3,13,1,10,5,2419,2051,,73.1,110.3,.229,.441,.577,50.5,62.0,10.5,7.9,.558,14.6,25.1,.162
24,Bethune-Cookman,28,15,13,.536,-9.95,-8.71,9,5,9,1,4,12,2099,2026,,75.5,98.9,.384,.313,.517,50.6,46.2,9.4,7.3,.476,17.7,30.7,.272
25,Binghamton,28,10,18,.357,-14.60,-4.52,4,11,7,7,3,11,1944,2132,,69.4,99.5,.233,.481,.517,47.3,48.6,7.4,8.0,.490,15.7,25.9,.169
26,Boise State,30,19,11,.633,8.52,3.79,11,7,13,2,4,8,2295,2081,,70.3,106.6,.357,.425,.564,51.4,50.3,8.2,4.0,.526,15.6,25.2,.268
27,Boston College,29,13,16,.448,2.35,7.18,7,11,8,9,4,7,1876,2016,,69.3,93.0,.292,.390,.493,46.6,53.4,11.6,7.3,.465,16.9,25.4,.194
28,Boston University,30,17,13,.567,-1.76,-5.14,11,6,9,3,8,8,2139,2013,,67.0,105.1,.269,.345,.534,52.1,46.2,8.2,5.8,.514,14.6,29.6,.177
29,Bowling Green State,28,21,7,.750,1.74,0.05,12,3,13,1,5,3,2102,2015,,71.4,104.3,.284,.362,.519,51.4,46.2,7.6,6.3,.483,12.8,28.5,.211
30,Bradley,30,20,10,.667,4.73,0.00,11,6,15,1,4,8,2152,1982,,67.6,105.3,.324,.315,.533,53.6,52.3,7.0,11.5,.497,15.1,32.0,.236
31,Brigham Young,30,23,7,.767,17.13,6.48,12,3,14,1,5,5,2417,2073,,70.0,113.7,.240,.422,.607,49.5,58.7,8.2,5.5,.592,14.2,20.4,.170
