,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,28,18,10,.643,-2.34,-6.71,13,4,12,2,6,8,2134,1809,,1135,595,1393,.427,136,465,.292,483,652,.741,245,927,261,195,100,561,557
2,Air Force,29,11,18,.379,-0.74,2.34,5,12,8,7,3,8,2127,2156,,1160,761,1653,.460,291,790,.368,343,486,.706,213,955,406,182,80,332,553
3,Akron,28,21,7,.750,6.85,-0.69,11,4,13,2,7,4,2109,1846,,1120,675,1687,.400,169,559,.302,327,489,.669,320,1030,279,173,76,379,554
4,Alabama A&M,25,7,18,.280,-18.45,-8.89,4,10,5,4,2,13,1556,1795,,1005,648,1419,.457,167,516,.324,332,505,.657,224,964,336,152,110,311,430
5,Alabama-Birmingham,29,17,12,.586,-0.93,-1.45,8,8,10,6,5,6,1949,1890,,1160,679,1618,.420,222,664,.334,310,432,.718,239,875,320,203,94,357,503
6,Alabama State,27,8,19,.296,-15.64,-6.08,7,7,4,3,2,13,1664,1922,,1080,695,1508,.461,180,540,.333,352,543,.648,255,973,359,196,95,380,520
7,Alabama,28,15,13,.536,12.32,8.17,7,8,9,4,4,7,2323,2207,,1140,766,1825,.420,192,634,.303,483,651,.742,346,1117,330,239,115,392,557
8,Albany (NY),29,14,15,.483,-8.75,-6.61,7,7,7,6,5,9,1943,1977,,1165,715,1721,.415,226,665,.340,321,467,.687,268,1002,385,228,97,374,534
9,Alcorn State,26,13,13,.500,-15.27,-9.68,9,6,9,1,4,12,1972,1910,,1050,687,1540,.446,187,546,.342,349,534,.654,264,925,369,191,76,370,424
10,American,28,15,13,.536,-4.90,-5.82,11,6,10,3,5,10,2000,1974,,1125,705,1568,.450,161,492,.327,403,575,.701,281,971,337,169,91,376,440
11,Appalachian State,29,16,13,.552,-0.22,0.16,10,8,9,4,6,8,1980,1931,,1165,700,1653,.423,217,674,.322,314,441,.712,284,1022,387,193,78,413,551
12,Arizona State,28,19,9,.679,11.85,7.85,10,5,12,2,6,4,2061,1949,,1120,689,1618,.426,202,615,.328,369,551,.670,283,1053,349,182,105,455,516
13,Arizona,28,19,9,.679,20.27,8.20,9,6,12,3,4,5,2158,1820,,1130,626,1576,.397,192,600,.320,376,529,.711,259,941,330,126,85,407,541
