,3,4,5,6,7
0,A&M-Corpus Christi,Louisiana Tech,H,49.0,82.0
1,A&M-Corpus Christi,Vanderbilt,V,66.0,71.0
2,A&M-Corpus Christi,Stony Brook,H,63.0,68.0
3,A&M-Corpus Christi,North Dakota St.,H,45.0,57.0
4,A&M-Corpus Christi,UTRGV,H,63.0,55.0
5,A&M-Corpus Christi,St. Thomas (TX),H,69.0,59.0
6,A&M-Corpus Christi,UTRGV,V,55.0,52.0
7,A&M-Corpus Christi,UTSA,V,67.0,89.0
8,A&M-Corpus Christi,St. Mary's (TX),H,81.0,53.0
9,A&M-Corpus Christi,Texas A&M,V,60.0,63.0
10,A&M-Corpus Christi,Nicholls St.,V,58.0,64.0
11,A&M-Corpus Christi,Central Ark.,V,67.0,71.0
12,A&M-Corpus Christi,Nebraska,V,52.0,73.0
13,A&M-Corpus Christi,Northwestern St.,H,67.0,62.0
14,A&M-Corpus Christi,Southeastern La.,H,80.0,84.0
15,A&M-Corpus Christi,SFA,V,73.0,72.0
16,A&M-Corpus Christi,Abilene Christian,V,56.0,68.0
17,A&M-Corpus Christi,Southeastern La.,V,56.0,62.0
18,A&M-Corpus Christi,Lamar University,H,64.0,58.0
19,A&M-Corpus Christi,New Orleans,H,74.0,71.0
20,A&M-Corpus Christi,UIW,V,68.0,47.0
21,A&M-Corpus Christi,Sam Houston St.,V,61.0,80.0
22,A&M-Corpus Christi,Houston Baptist,V,77.0,82.0
23,A&M-Corpus Christi,McNeese,H,69.0,62.0
24,A&M-Corpus Christi,SFA,H,67.0,75.0
25,A&M-Corpus Christi,Abilene Christian,H,64.0,78.0
26,A&M-Corpus Christi,Lamar University,V,62.0,79.0
27,A&M-Corpus Christi,New Orleans,V,81.0,75.0
28,A&M-Corpus Christi,UIW,H,,
29,A&M-Corpus Christi,Sam Houston St.,H,,
30,A&M-Corpus Christi,Houston Baptist,H,,
31,Abilene Christian,Arlington Baptist,H,90.0,39.0
32,Abilene Christian,Drexel,V,83.0,86.0
33,Abilene Christian,Pepperdine,H,69.0,73.0
34,Abilene Christian,UNLV,V,58.0,72.0
35,Abilene Christian,Champion Chris.,H,90.0,58.0
36,Abilene Christian,Texas St.,V,56.0,61.0
37,Abilene Christian,SMU,V,51.0,70.0
38,Abilene Christian,Southeast Mo. St.,H,73.0,64.0
39,Abilene Christian,Dallas Christian,H,102.0,34.0
40,Abilene Christian,Howard Payne,H,105.0,36.0
41,Abilene Christian,New Orleans,V,77.0,71.0
42,Abilene Christian,Nicholls St.,H,79.0,61.0
43,Abilene Christian,Wichita St.,V,66.0,84.0
44,Abilene Christian,Lamar University,V,74.0,62.0
45,Abilene Christian,McNeese,H,84.0,88.0
46,Abilene Christian,A&M-Corpus Christi,H,68.0,56.0
47,Abilene Christian,Southeastern La.,H,76.0,55.0
48,Abilene Christian,Sam Houston St.,V,76.0,82.0
49,Abilene Christian,Central Ark.,V,70.0,69.0
50,Abilene Christian,SFA,V,61.0,71.0
51,Abilene Christian,UIW,H,72.0,58.0
52,Abilene Christian,Northwestern St.,V,69.0,73.0
53,Abilene Christian,Lamar University,H,84.0,49.0
54,Abilene Christian,Houston Baptist,H,81.0,67.0
55,Abilene Christian,A&M-Corpus Christi,V,78.0,64.0
56,Abilene Christian,Houston Baptist,V,82.0,68.0
57,Abilene Christian,Southeastern La.,V,75.0,69.0
58,Abilene Christian,Sam Houston St.,H,85.0,69.0
59,Abilene Christian,Central Ark.,H,,
60,Abilene Christian,SFA,H,,
61,Abilene Christian,UIW,V,,
62,Air Force,Idaho St.,H,79.0,89.0
63,Air Force,Texas St.,H,78.0,71.0
64,Air Force,Army West Point,V,69.0,57.0
65,Air Force,TCU,V,54.0,65.0
66,Air Force,LMU (CA),N,64.0,78.0
67,Air Force,Duquesne,N,63.0,69.0
68,Air Force,Indiana St.,N,74.0,84.0
69,Air Force,Jackson St.,H,76.0,52.0
70,Air Force,Wyoming,V,86.0,77.0
71,Air Force,Nevada,H,85.0,100.0
72,Air Force,Denver,V,79.0,75.0
73,Air Force,JWU (Denver),H,99.0,42.0
74,Air Force,Drake,H,80.0,85.0
75,Air Force,UC Riverside,H,105.0,56.0
76,Air Force,UNLV,V,59.0,71.0
